NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
334413.0,1,1,20832.0,0.0,20832.0
334416.0,6,430,3540609.0,623645.03,3540609.0
334417.0,1,14,221402.0,223179.28,221402.0
334418.0,1,1,9229.0,0.0,9228.0
334419.0,5,29,236575.5,129724.04,228991.5
334510.0,3,18,279126.0,236190.78000000003,275326.0
334511.0,4,16,218645.0,101194.75,210417.0
334512.0,1,6,38625.0,0.0,38625.0
334513.0,12,646,9187633.95,1657652.8699999999,9079361.95
334515.0,1,2,16125.0,0.0,14125.0
334516.0,3,31,251967.0,69350.97,233964.0
334519.0,5,156,2411389.87,729589.02,2331552.87
334614.0,1,1,17652.0,17828.52,17652.0
335110.0,2,8,97717.0,0.0,97092.0
335121.0,1,45,547090.0,0.0,547090.0
335122.0,3,221,2234197.0,1139536.33,1991452.0
335129.0,2,4,34833.0,0.0,34833.0
335210.0,1,5,33322.5,33573.56,33322.5
335311.0,2,100,1202172.5,1106013.42,1068170.5
335312.0,1,64,752145.0,0.0,752145.0
335313.0,5,163,1996979.57,775297.45,1985914.57
335314.0,1,18,149900.0,0.0,149900.0
335911.0,2,31,466210.0,0.0,466203.0
335912.0,1,15,74500.0,0.0,74500.0
335929.0,1,16,163730.0,164672.01,163730.0
335999.0,4,73,1013524.0,147732.8,1013512.0
336111.0,1,5,39795.0,40078.47,39795.0
336112.0,2,30,369808.0,0.0,281133.0
336211.0,6,490,5963227.75,3160006.78,5924755.75
336212.0,7,547,7740742.0,152828.22,6342912.0
336310.0,4,20,163494.12,28288.44,163488.12
336320.0,1,1,11547.0,0.0,11547.0
336330.0,2,4,33960.0,6949.91,33960.0
336340.0,1,12,156800.0,158286.38,117600.0
336350.0,3,18,213737.0,135962.05,193983.0
336360.0,1,1,33956.0,0.0,33953.0
336390.0,4,280,3471101.0,342175.45,3388080.0
336411.0,1,1,20833.0,0.0,20833.0
336412.0,2,79,1442769.0,1458420.5299999998,1442769.0
336413.0,4,459,5540615.0,906256.72,5140617.0
336510.0,1,96,1069280.0,1076252.29,820000.0
336611.0,2,4,50423.0,29767.54,38833.0
336612.0,3,11,67932.0,9047.25,64016.0
336999.0,11,18,201985.0,0.0,201983.0
337110.0,15,61,519638.0,333811.02,463394.0
337121.0,3,4,50134.0,17078.72,50132.0
337122.0,5,41,363337.0,199520.61,342014.0
337125.0,3,7,42256.0,11660.51,42252.0
337127.0,2,49,559274.0,294313.61,559272.0
337211.0,3,22,237287.0,218404.36000000002,174343.0
337212.0,11,133,1523383.0,614545.36,1475475.0
337214.0,3,17,251939.0,0.0,251937.0
337215.0,1,6,69800.0,0.0,64862.0
337910.0,2,285,332909.0,67785.15,332906.0
337920.0,2,28,180400.0,90901.83,158195.0
339112.0,16,663,6823043.0,1489831.9100000001,6389259.0
339113.0,10,110,1316375.0,534578.3,1284561.0
339114.0,7,127,1209916.0,127914.48,1109092.0
339115.0,1,2,22425.0,22533.08,22425.0
339116.0,29,699,6310562.6,1235908.56,5764616.6
339910.0,14,53,582094.0,0.0,582079.0
339920.0,6,29,325093.0,164158.9,311110.0
339930.0,2,4,25010.0,0.0,25003.0
339940.0,2,9,65000.0,50501.37,64998.0
339950.0,24,167,1484273.9200000002,862390.81,1403709.8100000003
339991.0,4,358,4497827.5,2185767.19,4101394.5
339992.0,2,16,80900.0,6136.27,69160.0
339994.0,1,3,23506.0,23705.64,23506.0
339999.0,32,985,11359176.27,2501886.7199999997,10576220.77
423110.0,35,285,3255603.61,1305109.62,2951027.61
423120.0,18,116,1048770.0,603987.9400000001,985255.0
423130.0,1,8,85000.0,85703.29,85000.0
423140.0,8,137,1081343.42,152314.28999999998,1044161.42
423210.0,10,221,3020842.0,1464559.71,2796224.0
423220.0,15,323,3551435.47,381413.05,3462921.22
423310.0,9,35,500610.0,326846.81,482929.0
423320.0,12,43,308739.79,135169.8,283848.79
423330.0,7,137,1696725.5,893143.09,1678118.5
423390.0,18,83,1103518.0,135202.88,1079503.0
423410.0,1,3,14975.0,15093.98,14975.0
423420.0,12,161,993120.47,649174.5099999998,986635.22
423430.0,16,318,4150153.0,1149739.6099999999,3334269.0
423440.0,5,18,205447.0,37192.33,205445.0
423450.0,79,587,7797986.62,3128243.8599999994,7467291.5
423460.0,4,10,49737.0,39055.729999999996,49134.0
423490.0,9,73,1068584.0,700450.34,1066525.0
423510.0,17,267,3122340.0,349669.49999999994,3032953.0
423610.0,22,205,2389157.0,1920404.8899999997,2287730.0
423620.0,6,96,1109420.0,133733.03,1085170.0
423690.0,11,46,609039.0,138913.12,605724.0
423710.0,9,176,2015524.0,1649755.5499999998,1916343.0
423720.0,24,487,5620039.0,3540778.4400000004,5327348.0
423730.0,8,102,1391422.5,1107297.55,1285491.5
423740.0,3,29,332145.32,192681.16,306701.32
423810.0,8,43,651968.0,191488.77,541860.0
423820.0,2,4,19265.0,14397.1,15695.75
423830.0,41,892,11203573.0,6410234.25,10617539.0
423840.0,35,801,9248509.469999999,3641452.7300000004,8179295.47
423850.0,16,106,1205429.5,648364.64,1090889.5
423860.0,27,168,1593517.65,230304.19,1467361.77
423910.0,12,229,2578350.6399999997,1453020.09,2421391.6399999997
423920.0,8,281,1249460.0,27331.05,1243149.0
423930.0,25,383,3859952.25,2628128.9200000004,3585445.25
423940.0,25,147,1148216.33,472363.8,1052586.33
423990.0,34,368,4589497.58,642712.5900000001,4029230.81
424110.0,5,11,117367.0,48133.63,109503.0
424120.0,13,162,1760075.02,830224.8700000001,1581187.02
424130.0,5,63,853222.0,824765.54,853214.0
424210.0,4,10,82517.35,3455.75,75637.35
424310.0,6,85,1020627.0,360890.67000000004,1007097.0
424320.0,11,589,9211701.0,557274.02,9172036.0
424330.0,23,24,260295.0,4534.64,260273.0
424410.0,16,435,3582551.8,3043132.69,3539628.8
424420.0,5,172,1735040.88,1604535.79,1337563.88
424430.0,1,19,116315.0,0.0,104415.0
424440.0,1,3,41072.0,0.0,41068.0
424450.0,7,107,1029989.0,348360.67,1015872.0
424460.0,6,55,676635.5,361700.49000000005,646993.5
424470.0,3,75,488742.0,390130.95,430356.0
