,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
430,444190, 32 , 377 ," 3,856,594 "," 1,766,863 ",Other Building Material Dealers,46%
834,922130, 79 , 372 ," 5,236,181 "," 1,219,527 ",Legal Counsel and Prosecution,23%
470,453310, 26 , 370 ," 2,220,123 "," 481,762 ",Used Merchandise Stores,22%
381,423990, 34 , 368 ," 4,589,498 "," 642,713 ",Other Miscellaneous Durable Goods Merchant Wholesalers,14%
103,311811, 44 , 365 ," 1,743,338 "," 829,499 ",Retail Bakeries,48%
418,441228, 13 , 361 ," 4,260,294 "," 409,581 ","Motorcycle, ATV, and All Other Motor Vehicle Dealers",10%
681,561790, 57 , 361 ," 2,654,978 "," 1,869,492 ",Other Services to Buildings and Dwellings,70%
342,339991, 4 , 358 ," 4,497,828 "," 2,185,767 ","Gasket, Packing, and Sealing Device Manufacturing",49%
187,326299, 6 , 357 ," 3,363,119 "," 2,400,157 ",All Other Rubber Product Manufacturing,71%
183,326199, 19 , 352 ," 3,525,783 "," 251,506 ",All Other Plastics Product Manufacturing,7%
493,484220, 28 , 350 ," 3,911,208 "," 1,184,608 ","Specialized Freight (except Used Goods) Trucking, Local",30%
413,425120, 65 , 350 ," 3,070,332 "," 1,588,708 ",Wholesale Trade Agents and Brokers,52%
617,541380, 15 , 346 ," 4,151,435 "," 618,051 ",Testing Laboratories,15%
90,311340, 4 , 346 ," 3,541,717 "," 1,987,919 ",Nonchocolate Confectionery Manufacturing,56%
585,531190, 41 , 343 ," 2,202,144 "," 1,459,854 ",Lessors of Other Real Estate Property,66%
264,333991, 6 , 340 ," 4,541,897 "," 1,173,783 ",Power-Driven Handtool Manufacturing,26%
748,711130, 49 , 340 ," 3,814,224 "," 1,713,822 ",Musical Groups and Artists,45%
76,238290, 19 , 336 ," 4,091,613 "," 1,207,772 ",Other Building Equipment Contractors,30%
642,541860, 6 , 333 ," 2,968,534 "," 2,007,467 ",Direct Mail Advertising,68%
561,523140, 5 , 333 ," 2,370,246 "," 865,892 ",Commodity Contracts Brokerage,37%
440,445299, 28 , 332 ," 1,198,350 "," 821,335 ",All Other Specialty Food Stores,69%
526,511210, 32 , 331 ," 4,676,325 "," 3,584,966 ",Software Publishers,77%
574,524292, 8 , 331 ," 3,281,913 "," 3,300,589 ",Third Party Administration of Insurance and Pension Funds,101%
421,442110, 37 , 330 ," 2,894,508 "," 1,749,759 ",Furniture Stores,60%
351,423220, 15 , 323 ," 3,551,435 "," 381,413 ",Home Furnishing Merchant Wholesalers,11%
502,485510, 7 , 323 ," 2,500,607 "," 1,013,203 ",Charter Bus Industry,41%
69,238140, 47 , 319 ," 4,604,180 "," 1,260,810 ",Masonry Contractors,27%
358,423430, 16 , 318 ," 4,150,153 "," 1,149,740 ",Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,28%
143,321920, 11 , 315 ," 2,494,982 "," 1,996,318 ",Wood Container and Pallet Manufacturing,80%
167,325413, 4 , 312 ," 2,225,560 "," 1,123,546 ",In-Vitro Diagnostic Substance Manufacturing,50%
609,541214, 21 , 311 ," 1,174,689 "," 676,258 ",Payroll Services,58%
422,442210, 33 , 310 ," 2,741,040 "," 1,368,670 ",Floor Covering Stores,50%
747,711120, 36 , 309 ," 759,461 "," 205,085 ",Dance Companies,27%
683,561920, 9 , 308 ," 1,276,778 "," 324,628 ",Convention and Trade Show Organizers,25%
113,311991, 17 , 307 ," 1,535,981 "," 216,720 ",Perishable Prepared Food Manufacturing,14%
419,441310, 39 , 306 ," 1,600,169 "," 619,337 ",Automotive Parts and Accessories Stores,39%
116,312112, 3 , 305 ," 3,500,994 "," 119,545 ",Bottled Water Manufacturing,3%
730,622210, 4 , 305 ," 2,998,935 ", -   ,Psychiatric and Substance Abuse Hospitals,0%
818,813212, 9 , 303 ," 2,799,246 "," 904,843 ",Voluntary Health Organizations,32%
792,811198, 45 , 303 ," 2,223,013 "," 700,823 ",All Other Automotive Repair and Maintenance,32%
741,624221, 10 , 301 ," 2,100,599 "," 844,566 ",Temporary Shelters,40%
515,492110, 138 , 300 ," 2,637,559 "," 275,295 ",Couriers and Express Delivery Services,10%
70,238150, 18 , 298 ," 3,653,434 "," 2,474,250 ",Glass and Glazing Contractors,68%
429,444130, 24 , 293 ," 2,117,592 "," 1,312,643 ",Hardware Stores,62%
765,713920, 4 , 292 ," 334,543 "," 44,532 ",Skiing Facilities,13%
